Country,RegionName,Subregion,Subregion_new,CLon,CLat,EU member,HDI_2017,HDI_group,Rank,ACP,Least TRUE,Commonwealth,SIDS,UN_Developed
Albania,Europe,Southern Europe,South and East Europe,20.050049,40.934006,FALSE,0.784910973,HIGH,68,FALSE,FALSE,FALSE,FALSE,FALSE
Algeria,Africa,Northern Africa,Northern Africa,2.296145,27.94073,FALSE,0.753767535,HIGH,85,FALSE,FALSE,FALSE,FALSE,FALSE
Angola,Africa,Middle Africa,Middle Africa,17.237553,-13.299091,FALSE,0.581178565,MEDIUM,147,TRUE,FALSE,FALSE,FALSE,FALSE
Antigua Barb,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-61.8,17.05,FALSE,0.77953591,HIGH,70,TRUE,FALSE,TRUE,TRUE,FALSE
Argentina,"South, Central America and Carribbean",South America,South America,-64.379883,-33.707205,FALSE,0.82484965,VERY_HIGH,47,FALSE,FALSE,FALSE,FALSE,FALSE
Australia,Oceania,Australia and New Zealand,Oceania,133.769531,-25.105497,FALSE,0.938631285,VERY_HIGH,3,FALSE,FALSE,TRUE,FALSE,TRUE
Bahamas,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-77.934265,24.533303,FALSE,0.807126296,VERY_HIGH,54,TRUE,FALSE,TRUE,TRUE,FALSE
Bahrain,Asia,Western Asia,Western Asia,50.55,26,FALSE,0.846108339,VERY_HIGH,43,FALSE,FALSE,FALSE,TRUE,FALSE
Bangladesh,Asia,Southern Asia,Southern Asia,90.186768,24.444024,FALSE,0.608155837,MEDIUM,136,FALSE,FALSE,TRUE,FALSE,FALSE
Barbados,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-59.550018,13.151284,FALSE,0.800268631,VERY_HIGH,58,TRUE,FALSE,TRUE,TRUE,FALSE
Belgium,Europe,Western Europe,North and West Europe,4.383545,50.692543,TRUE,0.916066037,VERY_HIGH,17,FALSE,FALSE,FALSE,FALSE,TRUE
Belize,"South, Central America and Carribbean",Central America,Central America And Caribbean,-88.846436,17.261154,FALSE,0.707553154,HIGH,106,TRUE,FALSE,TRUE,TRUE,FALSE
Benin,Africa,Western Africa,Western Africa,2.438965,9.702289,FALSE,0.514619673,LOW,163,TRUE,TRUE,FALSE,FALSE,FALSE
Bosnia Herzg,Europe,Southern Europe,South and East Europe,18.416667,43.866667,FALSE,0.768450831,HIGH,77,FALSE,FALSE,FALSE,FALSE,FALSE
Brazil,"South, Central America and Carribbean",South America,South America,-51.815643,-12.986242,FALSE,0.75924537,HIGH,79,FALSE,FALSE,FALSE,FALSE,FALSE
Brunei Darsm,Asia,Southeastern Asia,Southeastern Asia,114.612122,4.438665,FALSE,0.853266972,VERY_HIGH,39,FALSE,FALSE,TRUE,FALSE,FALSE
Bulgaria,Europe,Eastern Europe,South and East Europe,25.125732,42.501972,TRUE,0.813006249,VERY_HIGH,51,FALSE,FALSE,FALSE,FALSE,TRUE
Cambodia,Asia,Southeastern Asia,Southeastern Asia,104.768372,12.773467,FALSE,0.581975041,MEDIUM,146,FALSE,FALSE,FALSE,FALSE,FALSE
Cameroon,Africa,Middle Africa,Middle Africa,12.370605,4.471011,FALSE,0.555938482,MEDIUM,151,TRUE,FALSE,TRUE,FALSE,FALSE
Canada,North America,Northern America,Northern America,-106.424561,56.532039,FALSE,0.925952399,VERY_HIGH,12,FALSE,FALSE,TRUE,FALSE,TRUE
Cape Verde,Africa,Western Africa,Western Africa,-23.521729,15.012443,FALSE,0.654030718,MEDIUM,125,TRUE,FALSE,FALSE,TRUE,FALSE
Chile,"South, Central America and Carribbean",South America,South America,-69.833221,-26.826905,FALSE,0.842858781,VERY_HIGH,44,FALSE,FALSE,FALSE,FALSE,FALSE
China,Asia,Eastern Asia,Eastern Asia,103.977356,34.709304,FALSE,0.751703947,HIGH,86,FALSE,FALSE,FALSE,FALSE,FALSE
Colombia,"South, Central America and Carribbean",South America,South America,-73.085175,3.422521,FALSE,0.747045383,HIGH,90,FALSE,FALSE,FALSE,FALSE,FALSE
Comoros,Africa,Eastern Africa,Eastern Africa,43.36853,-11.729226,FALSE,0.503253555,LOW,165,TRUE,TRUE,FALSE,TRUE,FALSE
Congo Dem Rep,Africa,Middle Africa,Middle Africa,22.450562,-3.021555,FALSE,0.457469213,LOW,176,TRUE,TRUE,FALSE,FALSE,FALSE
Congo Republic,Africa,Middle Africa,Middle Africa,15.419312,-1.001421,FALSE,0.606282582,MEDIUM,137,TRUE,FALSE,FALSE,FALSE,FALSE
Costa Rica,"South, Central America and Carribbean",Central America,Central America And Caribbean,-83.807831,9.879147,FALSE,0.793864632,HIGH,63,FALSE,FALSE,FALSE,FALSE,FALSE
Cote d'Ivoire,Africa,Western Africa,Western Africa,-5.372314,7.606192,FALSE,0.492304502,LOW,170,TRUE,TRUE,FALSE,FALSE,FALSE
Croatia,Europe,Southern Europe,South and East Europe,14.732666,45.001224,TRUE,0.831102279,VERY_HIGH,46,FALSE,FALSE,FALSE,FALSE,TRUE
Cuba,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-78.75412,21.9401,FALSE,0.777267606,HIGH,73,FALSE,FALSE,FALSE,TRUE,FALSE
Cyprus,Asia,Western Asia,Western Asia,33.123779,34.98219,TRUE,0.868784385,VERY_HIGH,32,FALSE,FALSE,TRUE,FALSE,TRUE
Denmark,Europe,Northern Europe,North and West Europe,9.30542,56.284154,TRUE,0.929474111,VERY_HIGH,11,FALSE,FALSE,FALSE,FALSE,TRUE
Djibouti,Africa,Eastern Africa,Eastern Africa,42.398145,11.719458,FALSE,0.476005731,LOW,172,TRUE,TRUE,FALSE,FALSE,FALSE
Dominica,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-61.346283,15.445325,FALSE,0.715056593,HIGH,103,TRUE,FALSE,TRUE,TRUE,FALSE
Dominican Rp,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-70.662689,18.929265,FALSE,0.735797919,HIGH,94,TRUE,FALSE,FALSE,TRUE,FALSE
Ecuador,"South, Central America and Carribbean",South America,South America,-78.552246,-1.412973,FALSE,0.751899753,HIGH,86,FALSE,FALSE,FALSE,FALSE,FALSE
Egypt,Africa,Northern Africa,Northern Africa,29.478223,26.532004,FALSE,0.695607556,MEDIUM,115,FALSE,FALSE,FALSE,FALSE,FALSE
El Salvador,"South, Central America and Carribbean",Central America,Central America And Caribbean,-88.747559,13.532525,FALSE,0.674158727,MEDIUM,121,FALSE,FALSE,FALSE,FALSE,FALSE
Equatorial Guinea,Africa,Middle Africa,Middle Africa,10.38208,1.563984,FALSE,0.590561035,MEDIUM,141,FALSE,FALSE,FALSE,FALSE,FALSE
Eritrea,Africa,Eastern Africa,Eastern Africa,38.574902,15.6045,FALSE,0.439978538,LOW,179,TRUE,TRUE,FALSE,FALSE,FALSE
Estonia,Europe,Northern Europe,North and West Europe,25.477295,58.783506,TRUE,0.871042039,VERY_HIGH,30,FALSE,FALSE,FALSE,FALSE,TRUE
Fiji,Oceania,Melanesia,Oceania,177.929077,-17.713371,FALSE,0.740787955,HIGH,92,TRUE,FALSE,TRUE,TRUE,FALSE
Finland,Europe,Northern Europe,North and West Europe,26.125488,63.01199,TRUE,0.919652775,VERY_HIGH,15,FALSE,FALSE,FALSE,FALSE,TRUE
France,Europe,Western Europe,North and West Europe,2.592773,46.910875,TRUE,0.90080244,VERY_HIGH,24,FALSE,FALSE,FALSE,FALSE,TRUE
Gabon,Africa,Middle Africa,Middle Africa,11.711426,-0.709973,FALSE,0.702216426,HIGH,110,TRUE,FALSE,FALSE,FALSE,FALSE
Gambia,Africa,Western Africa,Western Africa,-14.93042,13.61796,FALSE,0.460067236,LOW,174,TRUE,TRUE,TRUE,FALSE,FALSE
Georgia,Europe,Western Asia,Western Asia,43.604736,41.932422,FALSE,0.779822329,HIGH,70,FALSE,FALSE,FALSE,FALSE,FALSE
Germany,Europe,Western Europe,North and West Europe,10.063477,50.727763,TRUE,0.93604342,VERY_HIGH,5,FALSE,FALSE,FALSE,FALSE,TRUE
Ghana,Africa,Western Africa,Western Africa,-1.098633,7.348847,FALSE,0.591738194,MEDIUM,140,TRUE,FALSE,TRUE,FALSE,FALSE
Greece,Europe,Southern Europe,South and East Europe,21.75293,39.696621,TRUE,0.869934067,VERY_HIGH,31,FALSE,FALSE,FALSE,FALSE,TRUE
Grenada,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-61.679993,12.097571,FALSE,0.771948499,HIGH,75,TRUE,FALSE,TRUE,TRUE,FALSE
Guatemala,"South, Central America and Carribbean",Central America,Central America And Caribbean,-90.156551,15.087207,FALSE,0.650311623,MEDIUM,127,FALSE,FALSE,FALSE,FALSE,FALSE
Guinea,Africa,Western Africa,Western Africa,-11.030271,10.862978,FALSE,0.459111122,LOW,175,TRUE,TRUE,FALSE,FALSE,FALSE
Guinea-Bissau,Africa,Western Africa,Western Africa,-14.721678,12.154801,FALSE,0.455303553,LOW,177,TRUE,TRUE,FALSE,TRUE,FALSE
Guyana,"South, Central America and Carribbean",South America,South America,-58.691705,5.675263,FALSE,0.653637243,MEDIUM,125,TRUE,FALSE,TRUE,TRUE,FALSE
Haiti,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-72.336721,19.242926,FALSE,0.497945111,LOW,168,TRUE,TRUE,FALSE,TRUE,FALSE
Honduras,"South, Central America and Carribbean",Central America,Central America And Caribbean,-87.146283,14.874949,FALSE,0.616716749,MEDIUM,133,FALSE,FALSE,FALSE,FALSE,FALSE
Hong Kong,Asia,Eastern Asia,Eastern Asia,114.182285,22.279407,FALSE,0.932582914,VERY_HIGH,7,FALSE,FALSE,FALSE,FALSE,FALSE
Iceland,Europe,Northern Europe,North and West Europe,-18.676758,64.880436,FALSE,0.934879252,VERY_HIGH,6,FALSE,FALSE,FALSE,FALSE,TRUE
India,Asia,Southern Asia,Southern Asia,78.936772,22.955232,FALSE,0.639832911,MEDIUM,130,FALSE,FALSE,TRUE,FALSE,FALSE
Indonesia,Asia,Southeastern Asia,Southeastern Asia,113.921327,-0.789275,FALSE,0.693979664,MEDIUM,116,FALSE,FALSE,FALSE,FALSE,FALSE
Iran,Asia,Southern Asia,Southern Asia,54.503178,32.28423,FALSE,0.798057343,HIGH,60,FALSE,FALSE,FALSE,FALSE,FALSE
Iraq,Asia,Western Asia,Western Asia,43.679291,33.223191,FALSE,0.685317078,MEDIUM,120,FALSE,FALSE,FALSE,FALSE,FALSE
Ireland,Europe,Northern Europe,North and West Europe,-8.426506,53.039149,TRUE,0.938410059,VERY_HIGH,4,FALSE,FALSE,FALSE,FALSE,TRUE
Israel,Asia,Western Asia,Western Asia,34.947526,30.786087,FALSE,0.903244841,VERY_HIGH,22,FALSE,FALSE,FALSE,FALSE,FALSE
Italy,Europe,Southern Europe,South and East Europe,12.623311,42.647597,TRUE,0.879769445,VERY_HIGH,28,FALSE,FALSE,FALSE,FALSE,TRUE
Jamaica,"South, Central America and Carribbean",Caribbean,Central America And Caribbean,-77.401402,18.160695,FALSE,0.732240923,HIGH,97,TRUE,FALSE,TRUE,TRUE,FALSE
Japan,Asia,Eastern Asia,Eastern Asia,139.467322,36.742942,FALSE,0.909152957,VERY_HIGH,19,FALSE,FALSE,FALSE,FALSE,TRUE
Jordan,Asia,Western Asia,Western Asia,36.41971,31.313168,FALSE,0.73537314,HIGH,95,FALSE,FALSE,FALSE,FALSE,FALSE
Kenya,Africa,Eastern Africa,Eastern Africa,38.353309,-0.047379,FALSE,0.589920177,MEDIUM,142,TRUE,FALSE,TRUE,FALSE,FALSE
Kiribati,Oceania,Micronesia,Oceania,-157.372284,1.820248,FALSE,0.611784026,MEDIUM,134,TRUE,FALSE,TRUE,TRUE,FALSE
Korea D P Rp,Asia,Eastern Asia,Eastern Asia,125.75,39.033333,FALSE,0.733,MEDIUM,..,FALSE,FALSE,FALSE,FALSE,FALSE
Korea Rep,Asia,Eastern Asia,Eastern Asia,127.338433,38.173095,FALSE,0.902561126,VERY_HIGH,22,FALSE,FALSE,FALSE,FALSE,FALSE
Kuwait,Asia,Western Asia,Western Asia,47.54889,29.321727,FALSE,0.803066024,VERY_HIGH,56,FALSE,FALSE,FALSE,FALSE,FALSE
