Country,SSF reported 2003,SSF estimate,SSF total,Total all,Total LSF
Albania,0,3600,3600,6000,2400
Algeria,0,10000,10000,40000,30000
Angola,6788,18000,24788,55000,30212
Antigua Barb,0,5800,5800,6900,1100
Argentina,0,9000,9000,24000,15000
Australia,37922,35000,72922,90000,17078
Bahamas,0,27000,27000,38000,11000
Bahrain,0,57000,57000,63000,6000
Bangladesh,0,2600000,2600000,2800000,200000
Barbados,0,24000,24000,26000,2000
Belgium,0,0,0,600,600
Belize,0,9600,9600,11000,1400
Benin,4615,33000,37615,38000,385
Bosnia Herzg,,,,,
Brazil,280380,0,280380,1100000,819620
Brunei Darsm,0,500,500,2800,2300
Bulgaria,0,200,200,3700,3500
Cambodia,0,160000,160000,160000,0
Cameroon,29150,0,29150,30000,850
Canada,0,19000,19000,76000,57000
Cape Verde,4140,16000,20140,22000,1860
Chile,53278,0,53278,57000,3722
China,3296660,310000,3606660,7400000,3793340
Colombia,77038,0,77038,100000,22962
Comoros,5458,29000,34458,38000,3542
Congo Dem Rep,0,0,0,200000,200000
Congo Republic,2226,0,2226,5100,2874
Costa Rica,8000,0,8000,8200,200
Cote d'Ivoire,4528,7300,11828,16000,4172
Croatia,0,1600,1600,4100,2500
Cuba,0,1000000,1000000,1000000,0
Cyprus,677,0,677,900,223
Denmark,0,7300,7300,12000,4700
Djibouti,728,0,728,800,72
Dominica,913,2200,3113,5000,1887
Dominican Rp,9500,350000,359500,360000,500
Ecuador,0,48000,48000,120000,72000
Egypt,61693,670000,731693,760000,28307
El Salvador,6862,0,6862,20000,13138
Equatorial Guinea,4342,0,4342,7600,3258
Eritrea,0,3900,3900,7100,3200
Estonia,3256,0,3256,5800,2544
Fiji,30849,0,30849,37000,6151
Finland,0,46000,46000,47000,1000
France,0,12000,12000,34000,22000
Gabon,2935,2500,5435,6000,565
Gambia,25071,0,25071,31000,5929
Georgia,1518,0,1518,1800,282
Germany,0,0,0,2000,2000
Ghana,0,12000,12000,170000,158000
Greece,0,4700,4700,35000,30300
Grenada,0,4000,4000,6400,2400
Guatemala,5297,300,5597,57000,51403
Guinea,80000,0,80000,82000,2000
Guinea-Bissau,0,83000,83000,84000,1000
Guyana,4990,48000,52990,54000,1010
Haiti,49200,300000,349200,350000,800
Honduras,13700,0,13700,38000,24300
Hong Kong,1976,0,1976,8100,6124
Iceland,0,0,0,4900,4900
India,210746,1500000,1710746,16000000,14289254
Indonesia,0,1100000,1100000,4400000,3300000
Iran,0,42000,42000,180000,138000
Iraq,,,,,
Ireland,0,2000,2000,7200,5200
Israel,1037,1300,2337,2500,163
Italy,0,27000,27000,65000,38000
Jamaica,20153,90000,110153,110153,0
Japan,210983,0,210983,240000,29017
Jordan,90,0,90,90,0
Kenya,9236,2700,11936,12000,64
Kiribati,21463,0,21463,23000,1537
Korea D P Rp,,,,,
Korea Rep,0,81000,81000,260000,179000
Kuwait,0,28000,28000,30000,2000
Latvia,0,2300,2300,5900,3600
Lebanon,4000,0,4000,14000,10000
Liberia,0,17000,17000,20000,3000
Libya,0,300,300,12000,11700
Lithuania,0,0,0,2600,2600
Madagascar,55109,0,55109,150000,94891
Malaysia,46964,98000,144964,180000,35036
Maldives,0,15000,15000,29000,14000
Malta,0,200,200,1500,1300
Marshall Is,4779,0,4779,5200,421
Mauritania,0,29000,29000,44000,15000
Mauritius,2235,6500,8735,8735,0
Mexico,0,200000,200000,450000,250000
Micronesia,31834,0,31834,38000,6166
Montenegro,,,,,
Morocco,0,17000,17000,140000,123000
Mozambique,72930,45000,117930,117930,0
Myanmar,0,430000,430000,1200000,770000
Namibia,0,0,0,5600,5600
Nauru,352,0,352,400,48
Netherlands,0,0,0,2700,2700
New Zealand,0,4300,4300,13000,8700
Nicaragua,13371,0,13371,16000,2629
Nigeria,616530,0,616530,616530,0
Norway,0,3000,3000,20000,17000
Oman,0,3100,3100,38000,34900
Pakistan,1500000,1400000,1500000,1500000,0
Palau,2295,0,2295,2500,205
Panama,20778,0,20778,34778,14000
Papua New Guinea,449654,0,449654,450000,346
Peru,37727,0,37727,72000,34273
Philippines,0,290000,290000,1900000,1610000
Poland,0,0,0,4500,4500
Portugal,0,2500,2500,23000,20500
Qatar,0,2400,2400,7900,5500
Romania,18051,0,18051,23000,4949
Russian Federation,0,20000,20000,380000,360000
Samoa,11909,0,11909,12000,91
Sao Tome Prn,0,6700,6700,11000,4300
Saudi Arabia,0,11000,11000,17000,6000
Senegal,49322,30000,79322,84000,4678
Seychelles,0,600,600,2600,2000
Sierra Leone,30000,0,30000,31000,1000
Singapore,0,0,0,14000,14000
Slovenia,,,,,
Solomon Is,6115,7700,13815,18000,4185
Somalia,0,25000,25000,61000,36000
South Africa,29233,29000,58233,75233,17000
Spain,0,7000,7000,61000,54000
Sri Lanka,0,73000,73000,280000,207000
St Kitts Nev,0,3400,3400,4000,600
St Lucia,0,6400,6400,8600,2200
St Vincent,2511,2400,4911,4911,0
Sudan,0,7200,7200,9000,1800
Suriname,0,37000,37000,42000,5000
Sweden,0,2300,2300,4300,2000
Syria,0,600,600,3000,2400
Taiwan,0,73000,73000,310000,237000
Tanzania,43000,0,43000,44000,1000
Thailand,0,230000,230000,810000,580000
Timor Leste,,,,,
Togo,2132,0,2132,11000,8868
Tonga,1738,4800,6538,7600,1062
Trinidad Tob,0,110000,110000,120000,10000
Tunisia,0,11000,11000,59000,48000
Turkey,0,24000,24000,100000,76000
Tuvalu,,,,,
United Kingdom,0,0,0,12000,12000
Ukraine,0,0,0,25000,25000
Untd Arab Em,0,2500,2500,22000,19500
Uruguay,0,1100,1100,2600,1500
USA,0,230000,230000,280000,50000
Vanuatu,11021,1900,12921,13000,79
Venezuela,86503,23000,109503,110000,497
Viet Nam,0,1700000,1700000,2100000,400000
Yemen,41322,0,41322,46000,4678
Monaco,,,,,
,,,,,
,,,,,
