Country,FleetLV_USD_2014
Albania,4571160.057
Algeria,296342433.2
Angola,1267876450
Antigua Barb,12588036.62
Argentina,1361404607
Australia,1092701531
Bahamas,112493236.8
Bahrain,139998233
Bangladesh,801012911.6
Barbados,6680669.427
Belgium,165277562
Belize,408135065
Benin,83189166.24
Bosnia Herzg,88751.26926
Brazil,2365025233
Brunei Darsm,28088364.14
Bulgaria,18489000.88
Cambodia,174368252.2
Cameroon,135254216.7
Canada,2728452002
Cape Verde,164546636.8
Chile,3189534079
China,25840390436
Colombia,184525620.5
Comoros,105781581.5
Congo Dem Rep,37526620.12
Congo Republic,95104212.69
Costa Rica,69216241.01
Cote d'Ivoire,98789315.6
Croatia,109762398.9
Cuba,65720233.18
Cyprus,7160077.375
Denmark,3260504083
Djibouti,6457763.19
Dominica,38397337.75
Dominican Rp,100466408.9
Ecuador,814576421.5
Egypt,420630046.4
El Salvador,29386660.54
Equatorial Guinea,45136820.79
Eritrea,7091997.457
Estonia,28190589.81
Fiji,152015261.2
Finland,99002832.11
France,2210387129
Gabon,146808256.9
Gambia,90089892.38
Georgia,38778974.31
Germany,417210701.8
Ghana,602195747.2
Greece,929658213.7
Grenada,5969410.781
Guatemala,60507484.82
Guinea,226167491.4
Guinea-Bissau,56788749.63
Guyana,76190991.84
Haiti,40715020.84
Honduras,52871500.24
Hong Kong,1172729615
Iceland,1674794784
India,4825087657
Indonesia,10338305113
Iran,821122387.6
Iraq,18479835.34
Ireland,491671463.3
Israel,9154541.129
Italy,1592491780
Jamaica,47829179.91
Japan,12425937024
Jordan,1191605.697
Kenya,46396623.87
Kiribati,109818182
Korea D P Rp,210760065.1
Korea Rep,3874251321
Kuwait,66518434.54
Latvia,97325462.94
Lebanon,10342421.1
Liberia,32402425.17
Libya,146789469
Lithuania,148057267.4
Madagascar,240616256.2
Malaysia,4140056807
Maldives,137448204.4
Malta,171549391.3
Marshall Is,59817771.59
Mauritania,343447294.9
Mauritius,39139228.99
Mexico,3701624941
Micronesia,83904230.37
Montenegro,2744299.952
Morocco,2388998975
Mozambique,251102739.4
Myanmar,1286085110
Namibia,568739145
Nauru,970907.5617
Netherlands,867110416.6
New Zealand,896730388.7
Nicaragua,136415133.4
Nigeria,1162023210
Norway,4729505964
Oman,558660531.7
Pakistan,961706021.8
Palau,9467646.668
Panama,237448062.6
Papua New Guinea,333928217.9
Peru,3268604478
Philippines,2873115415
Poland,438706511.9
Portugal,662840777
Qatar,213741589.5
Romania,3840050.388
Russian Federation,6152031691
Samoa,34630396.45
Sao Tome Prn,22461600.79
Saudi Arabia,360918734
Senegal,1947312902
Seychelles,21609966.39
Sierra Leone,368698733.4
Singapore,9212535.795
Slovenia,1610890.163
Solomon Is,166896439.8
Somalia,55379646.46
South Africa,710185129.7
Spain,3952845688
Sri Lanka,768995004.7
St Kitts Nev,6597922.897
St Lucia,6055508.008
St Vincent,8381853.165
Sudan,10083906.54
Suriname,90013301.73
Sweden,224893522.8
Syria,10517050.7
Taiwan,1550029271
Tanzania,271728638.5
Thailand,7892620081
Timor Leste,12581683.32
Togo,22500924.75
Tonga,8102662.87
Trinidad Tob,44637123.23
Tunisia,218291419.9
Turkey,851360400.2
Tuvalu,13072558.23
Ukraine,235329353.4
United Kingdom,1899488790
Untd Arab Em,324033036.3
Uruguay,139811801.1
USA,12293927307
Vanuatu,71349726.14
Venezuela,393707562.4
Viet Nam,3293700222
Yemen,684457048
