Country,Type,Subtype,Class,Amount,Comment,Currency,Year,Source,SSF percentage,SSF data type,SSF Comment
Brazil,Tax,Non-Fuel tax exemptions,B5,1677128.5,"row 918 tax exemption for goods intended for fish processing, etc. (Tabatinga, etc.) assumed 1/8. (=13417028 / 8)",BRL,2018,CIAT (2018) Tax Expenditure Database of Latin America and the Caribbean (TEDLAC),0,2,"Mentions industrial products, i.e. assume all LSF (INDUSTRIAL PRODUCTS TAX - IMPORT-RELATED - IPI-LINKED)"
Brazil,Tax,Non-Fuel tax exemptions,B5,292230294.2,"row 924 import tax exemption for goods intended for farming, fishing, etc. (Manaus) assumed 1/10. (=2922302942 / 10)",BRL,2018,CIAT (2018) Tax Expenditure Database of Latin America and the Caribbean (TEDLAC),0,2,"Mentions industrial products, i.e. assume all LSF INDUSTRIAL PRODUCTS TAX - IMPORT-RELATED - IPI-LINKED)"
Brazil,Assistance,Unemployment insurance,C1,89040030,r30: Payment of unemployment insurance to the artisanal fisherman,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)",100,1,all directed at artisanal fishermen
Brazil,Market Infrastructure,Marketing support,B4,241837955.5,r41: 1/2 of capital expenditures for production enhancement - half to aquaculture (=483675911 / 2),BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)",0,2,"Description of storage and infrastructure sounds like large/industrial scale, no mention of artisanal or coastal i.e. assume all LSF"
Brazil,Assistance,Worker adjustment and retraining,C1,1500000,"r50: Education and training for artisanal fishermen - different activities (organization, product quality, production, etc.)",BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)",100,1,all to artisanal fishermen
Brazil,Fuel,Fuel subsidies,B7,18617634,r22: Economic Subsidy for the Price of Diesel,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)",0,2,assume Diesel only for large inboard motors i.e excludes SSF
Brazil,Market Infrastructure,Processing & storage infrastructure,B4,14522003,"r40: Capital expenditures for fishing port infrastructure, reception and storage of marine producs",BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)",0,2,Description focus on large infrastructure i.e assume only LSF
Brazil,Access,Access fees for third country agreements,B6,54151.86,Estimation based on secondary sources,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.",0,na,by default 0% to SSF
Chile,Rural,Rural fisheries community development,C3,4170000,Apoyo a Actividades Pesca Artesanal (FFPA),CLP,2018,Chile Informe de Ejecucion Trimestral Periodo 2018,100,1,All for Pesca Artesanal i.e. SSF
Chile,Access,Access fees for third country agreements,B6,21449833.87,Estimation based on secondary sources,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.",0,na,by default 0% to SSF
Chile,Assistance,Worker adjustment and retraining,C1,1760000000,"See Chile FSE-Update, All Data tab:

Programa de estudios técnicos de nivel superior para trabajadores y ex trabajadores de la Industria pesquera que hayan perdido su trabajo como consecuencia de la aplicación de la ley N°18.892; y becas de estudio para los hijos de los ex trabajadores"",Año 2018

Programa de capacitación para trabajadores y ex trabajadores de la Industria Pesquera que hayan perdido su trabajo como consecuencia de la Aplicación de la Ley N°18.892, y becas de estudios para los Hijos de los Ex Trabajadores, Año 2018.",CLP,2018,"Programas de Subsidios y Otros Beneficios, Chile, 2018",0,1,Clearly refers to Fishing Industry i.e. excludes SSF
Chile,Rural,Rural fisheries community development,C3,25000000,"See Chile FSE-Update, All Data tab

Contribuir a la generación de condiciones y capacidades adecuadas que permitan a las unidades pesqueras artesanales fomentar el manejo sanitario de productos del mar, y ademas diversificar su actividad tradicional sobre la operación de recursos pesqueros, mediante el diseño de un producto turístico de la caleta Higuerillas.",CLP,2018,"Programas de Subsidios y Otros Beneficios, Chile, 2018",100,1,For pesca artesanal i.e. SSF
Chile,Assistance,Unemployment insurance,C1,115000000,"See Chile FSE-Update, All Data tab:

Programa de apoyo social para ex trabajadores de la industria pesquera que hayan perdido su trabajo como consecuencia de la aplicación de la ley N°18.892, Año 2017

Programa de apoyo social para ex trabajadores de la industria pesquera que hayan perdido su trabajo como consecuencia de la aplicación de la ley N°18.892, Año 2018",CLP,2018,"Programas de Subsidios y Otros Beneficios, Chile, 2018",0,1,"All for Trabajadores en la Industria Pesquera, i.e. all worker in the LSF"
Ghana,Assistance,Income support,C1,2064853.75,p35 marine fisheries resource management / 8 (for p34 social support for threatened fishing communities) (= 16518830 / 8),GHS,2018,Ghana Expenditure Framework 2018-2021,100,2,Fishing Communities assume SSF only
Ghana,Assistance,Fisher assistance,C1,2064853.75,"p35 1/8 of marine fisheries resource management (= 16518830 / 8), for p34 livelihood empowerment schemes for fishers",GHS,2018,Ghana Expenditure Framework 2018-2021,100,2,"Assume all SSF, livelihood empowerment and poverty alleviation schemes e.g., see: https://www.tandfonline.com/doi/full/10.1080/23311886.2019.1627789"
Ghana,Fishery Management,Fishery management programs & services,A1,2064853.75,p35 marine fisheries resource management / 8 (for p33 co-management systems and p34 fisheries management committees) (= 16518830 / 8),GHS,2018,Ghana Expenditure Framework 2018-2021,75,2,assume co-management is for SSF only and management committees for all sectors. 2064853.75/2 = 1032426.875 for co-management 100% SSF. and the other 1032426.875 are 50% SSF Therefore 75% of total = SSF
Ghana,Rural,Rural fisheries community development,C3,2064853.75,p35 marine fisheries resource management / 8 (for p34 value chain development - small-scale landing sites) (= 16518830 / 8),GHS,2018,Ghana Expenditure Framework 2018-2021,100,1,small-scale landing sites = SSF
Ghana,Market Infrastructure,"State investments in firms, cooperatives & parastatals",B4,417758.67,p63 1/3 of post harvest management / 2 (half to aquaculture) - for p61 'fisher based associations strengthened' (= 2506552 / 2 / 3),GHS,2018,Ghana Expenditure Framework 2018-2021,100,2,"After searching for Ghana fisher associations online only artisanal fisher projects come up, therefore assume all SSF"
Ghana,Market Infrastructure,Processing & storage infrastructure,B4,835517.33,p63 2/3 of post harvest management / 2 (half to aquaculture) for p61 'improved technologies in fish handling' and 'improved processing technologies' (= 2506552 / 2 * 2/3),GHS,2018,Ghana Expenditure Framework 2018-2021,75,2,"'improved technologies in fish handling' directed at landing site, therefore all SSF other half 'improved processing technologies' could be either sector. = 75% SSF"
Ghana,Assistance,Worker adjustment and retraining,C1,74287.43,p24 1/7 of policy; planning; budgeting; monitoring and evaluation (see p22 - 7 sub programmes. Relevant 'programmes for the improvement of livelihoods of the fisheries sector') (= 520012 / 7),GHS,2018,Ghana Expenditure Framework 2018-2021,100,2,livelihood programs directed at SSF
Ghana,Fishery Management,Monitoring control & surveillance,A1,2064853.75,p35 marine fisheries resource management / 8 for p34 monitoring of closed season and FMIS etc. (= 16518830 / 8),GHS,2018,Ghana Expenditure Framework 2018-2021,0,2,"closed season and FMIS (Fisheries Management Information System) directed at trawl fisheries, therefore no SSF"
Ghana,Fuel,Fuel subsidies,B7,61712280,"p9 48,978,000 liters of fuel distributed to 292 LBCs as of July 2017. Assumed for half the year since LBCs appear to be expanding - therefore should be more than the previous years which are p23 USAID 2016 SFMP subsidies. Price average taken from same page USAID document which is $0.63 / L. (=48978000 * 2 * 0.63)",USD,2017,Ghana Expenditure Framework 2018-2021,100,2,"This is all about distribution at beach landing sites, assume all SSF. In regard to LSF fuel subsidies: Based on Nunoo, F.K.E., et al.(2014). Marine fisheries catches in Ghana: historic reconstruction for 1950 to 2010 and
current economic impacts. Reviews in Fisheries Science & Aquaculture 22(4): 274-283.  Fuel subsidies to distant water fleet was removed in 2001. "
Ghana,Access,Access fees for third country agreements,B6,2053122.88,Estimation based on secondary sources,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.",0,na,by default 0% to SSF
Ghana,Tax,Non-Fuel tax exemptions,B5,15300000,p18 Tax Expenditure on VAT on domestic value addition - fishing,GHS,2013,Tax Expenditure Estimates 2016,51.5,na,Used catch data as proxy as no other values in West Africa Tax to model by. Fleet
Ghana,Boat,"Boat / fleet construct., renewal, & modernization",B1,4486500,p21 estimated engine subsidy cost,USD,2016,USAID Sustainable Fisheries Management Project (2016) Subsidies in Ghana’s Marine Artisanal Fisheries Sector,100,1,all directed at outboard engines for artisanal fleet
India,Assistance,Fisher assistance,C1,1000000,"A. The Budget allocations, net of recoveries and receipts. See cell Q38  in Excel spreadsheet 'DAF Budget 2017'. Package for Replacement of Fishing Vessels Seized by Pakistan",INR,2017,"Department of Animal Husbandry, Dairying, and Fisheries Budget 2017",0,2,"assume all LSF, as  SSF vessels are less likely to be seized by Pakistan."
