RegionName,Country,Category,Type,Constant 2018 USD,SSF_USD,Reported vs modeled estimates
Africa,Algeria,Beneficial,Fisheries mangt.,1629280.79,1311597.3,Modeled
Africa,Algeria,Beneficial,Fishery R&D,4529977.646,396534.5876,Modeled
Africa,Algeria,Beneficial,MPAs,508033.9447,195083.2897,Modeled
Africa,Algeria,Capacity-enhancing,Boat constsruct. & renov.,43901678.58,7024268.573,Reported
Africa,Algeria,Capacity-enhancing,Fisheries dev. projects,25878295.63,25878295.63,Reported
Africa,Algeria,Capacity-enhancing,Fishing port develop.,31776201.77,0,Reported
Africa,Algeria,Capacity-enhancing,Markt. & storage infrast.,55303477.09,0,Modeled
Africa,Algeria,Capacity-enhancing,Tax exemption,0,0,NA
Africa,Algeria,Capacity-enhancing,Fishing access,0,0,NA
Africa,Algeria,Capacity-enhancing,Fuel subsidies,51563511.22,3300064.718,Reported
Africa,Algeria,Ambiguous,Fisher assistance,3822168.638,1911084.319,Reported
Africa,Algeria,Ambiguous,Vessel buyback,0,0,NA
Africa,Algeria,Ambiguous,Rural fisher communities,9191270.444,9191270.444,Reported
Africa,Angola,Beneficial,Fisheries mangt.,7402331.289,0,Reported
Africa,Angola,Beneficial,Fishery R&D,216102.8855,99517.02159,Modeled
Africa,Angola,Beneficial,MPAs,0,0,NA
Africa,Angola,Capacity-enhancing,Boat constsruct. & renov.,12842685.77,5914146.889,Modeled
Africa,Angola,Capacity-enhancing,Fisheries dev. projects,6528959.537,6528959.537,Reported
Africa,Angola,Capacity-enhancing,Fishing port develop.,3484958.702,1148805.594,Reported
Africa,Angola,Capacity-enhancing,Markt. & storage infrast.,5855177.318,1932208.515,Reported
Africa,Angola,Capacity-enhancing,Tax exemption,12077126.52,3623137.956,Reported
Africa,Angola,Capacity-enhancing,Fishing access,377318.47,0,Reported
Africa,Angola,Capacity-enhancing,Fuel subsidies,1883821.395,369228.9934,Reported
Africa,Angola,Ambiguous,Fisher assistance,653698.2873,301033.0307,Modeled
Africa,Angola,Ambiguous,Vessel buyback,0,0,NA
Africa,Angola,Ambiguous,Rural fisher communities,3679027.916,3679027.916,Reported
Africa,Benin,Beneficial,Fisheries mangt.,9232292.617,8713729.498,Modeled
Africa,Benin,Beneficial,Fishery R&D,451720.0195,451720.0195,Modeled
Africa,Benin,Beneficial,MPAs,0,0,NA
Africa,Benin,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
Africa,Benin,Capacity-enhancing,Fisheries dev. projects,1121835.021,1121835.021,Modeled
Africa,Benin,Capacity-enhancing,Fishing port develop.,0,0,NA
Africa,Benin,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
Africa,Benin,Capacity-enhancing,Tax exemption,0,0,NA
Africa,Benin,Capacity-enhancing,Fishing access,0,0,NA
Africa,Benin,Capacity-enhancing,Fuel subsidies,0,0,NA
Africa,Benin,Ambiguous,Fisher assistance,0,0,NA
Africa,Benin,Ambiguous,Vessel buyback,0,0,NA
Africa,Benin,Ambiguous,Rural fisher communities,232400.3112,232400.3112,Modeled
Africa,Cameroon,Beneficial,Fisheries mangt.,5131498.144,0,Modeled
Africa,Cameroon,Beneficial,Fishery R&D,609560.6984,455951.5213,Modeled
Africa,Cameroon,Beneficial,MPAs,1475377.546,1103580.519,Modeled
Africa,Cameroon,Capacity-enhancing,Boat constsruct. & renov.,655684.3985,0,Modeled
Africa,Cameroon,Capacity-enhancing,Fisheries dev. projects,17023910.09,17023910.09,Modeled
Africa,Cameroon,Capacity-enhancing,Fishing port develop.,0,0,NA
Africa,Cameroon,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
Africa,Cameroon,Capacity-enhancing,Tax exemption,1288360.776,0,Reported
Africa,Cameroon,Capacity-enhancing,Fishing access,538959.66,0,Reported
Africa,Cameroon,Capacity-enhancing,Fuel subsidies,0,0,NA
Africa,Cameroon,Ambiguous,Fisher assistance,0,0,NA
Africa,Cameroon,Ambiguous,Vessel buyback,0,0,NA
Africa,Cameroon,Ambiguous,Rural fisher communities,0,0,NA
Africa,Cape Verde,Beneficial,Fisheries mangt.,2405245.315,834235.5275,Modeled
Africa,Cape Verde,Beneficial,Fishery R&D,322245.4956,139489.2547,Modeled
Africa,Cape Verde,Beneficial,MPAs,0,0,NA
Africa,Cape Verde,Capacity-enhancing,Boat constsruct. & renov.,797687.9776,736063.9719,Modeled
Africa,Cape Verde,Capacity-enhancing,Fisheries dev. projects,1648340.528,802887.2026,Modeled
Africa,Cape Verde,Capacity-enhancing,Fishing port develop.,0,0,NA
Africa,Cape Verde,Capacity-enhancing,Markt. & storage infrast.,13304053.89,9719781.187,Modeled
Africa,Cape Verde,Capacity-enhancing,Tax exemption,1567385.017,687765.6144,Modeled
Africa,Cape Verde,Capacity-enhancing,Fishing access,1221567.68,0,Reported
Africa,Cape Verde,Capacity-enhancing,Fuel subsidies,704134.0583,264035.0045,Modeled
Africa,Cape Verde,Ambiguous,Fisher assistance,0,0,NA
Africa,Cape Verde,Ambiguous,Vessel buyback,0,0,NA
Africa,Cape Verde,Ambiguous,Rural fisher communities,0,0,NA
Africa,Comoros,Beneficial,Fisheries mangt.,3311832.347,3311832.347,Reported
Africa,Comoros,Beneficial,Fishery R&D,127232.6209,68189.04639,Modeled
Africa,Comoros,Beneficial,MPAs,0,0,NA
Africa,Comoros,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
Africa,Comoros,Capacity-enhancing,Fisheries dev. projects,6050083.932,1645030.063,Modeled
Africa,Comoros,Capacity-enhancing,Fishing port develop.,47644064,47644064,Reported
Africa,Comoros,Capacity-enhancing,Markt. & storage infrast.,383333.33,383333.33,Reported
Africa,Comoros,Capacity-enhancing,Tax exemption,0,0,NA
Africa,Comoros,Capacity-enhancing,Fishing access,1622522.98,0,Reported
Africa,Comoros,Capacity-enhancing,Fuel subsidies,0,0,NA
Africa,Comoros,Ambiguous,Fisher assistance,0,0,NA
Africa,Comoros,Ambiguous,Vessel buyback,0,0,NA
Africa,Comoros,Ambiguous,Rural fisher communities,65458.46857,65458.46857,Modeled
Africa,Congo Dem Rep,Beneficial,Fisheries mangt.,2842892.895,0,Modeled
Africa,Congo Dem Rep,Beneficial,Fishery R&D,0,0,NA
Africa,Congo Dem Rep,Beneficial,MPAs,439062.5749,195179.0203,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
Africa,Congo Dem Rep,Capacity-enhancing,Fisheries dev. projects,302615.391,302615.391,Modeled
Africa,Congo Dem Rep,Capacity-enhancing,Fishing port develop.,0,0,NA
Africa,Congo Dem Rep,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
Africa,Congo Dem Rep,Capacity-enhancing,Tax exemption,0,0,NA
Africa,Congo Dem Rep,Capacity-enhancing,Fishing access,0,0,NA
Africa,Congo Dem Rep,Capacity-enhancing,Fuel subsidies,0,0,NA
Africa,Congo Dem Rep,Ambiguous,Fisher assistance,0,0,NA
Africa,Congo Dem Rep,Ambiguous,Vessel buyback,0,0,NA
Africa,Congo Dem Rep,Ambiguous,Rural fisher communities,0,0,NA
Africa,Congo Republic,Beneficial,Fisheries mangt.,408629.1227,0,Modeled
Africa,Congo Republic,Beneficial,Fishery R&D,631605.1949,251138.9605,Modeled
Africa,Congo Republic,Beneficial,MPAs,312560.1748,97648.48732,Modeled
Africa,Congo Republic,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
Africa,Congo Republic,Capacity-enhancing,Fisheries dev. projects,331981.5699,331981.5699,Modeled
Africa,Congo Republic,Capacity-enhancing,Fishing port develop.,0,0,NA
Africa,Congo Republic,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
Africa,Congo Republic,Capacity-enhancing,Tax exemption,905912.8824,452956.4412,Reported
Africa,Congo Republic,Capacity-enhancing,Fishing access,265119.04,0,Reported
Africa,Congo Republic,Capacity-enhancing,Fuel subsidies,0,0,NA
Africa,Congo Republic,Ambiguous,Fisher assistance,0,0,NA
Africa,Congo Republic,Ambiguous,Vessel buyback,0,0,NA
Africa,Congo Republic,Ambiguous,Rural fisher communities,0,0,NA
Africa,Cote d'Ivoire,Beneficial,Fisheries mangt.,3271594.835,937248.3093,Modeled
Africa,Cote d'Ivoire,Beneficial,Fishery R&D,854274.1473,305433.7402,Modeled
Africa,Cote d'Ivoire,Beneficial,MPAs,213080.5174,21685.54923,Modeled
Africa,Cote d'Ivoire,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
Africa,Cote d'Ivoire,Capacity-enhancing,Fisheries dev. projects,32851596.54,32851596.54,Modeled
Africa,Cote d'Ivoire,Capacity-enhancing,Fishing port develop.,8469529.029,616083.8864,Modeled
Africa,Cote d'Ivoire,Capacity-enhancing,Markt. & storage infrast.,8443324.366,8443324.366,Modeled
Africa,Cote d'Ivoire,Capacity-enhancing,Tax exemption,1889723,1360600.56,Reported
Africa,Cote d'Ivoire,Capacity-enhancing,Fishing access,655127.14,0,Reported
Africa,Cote d'Ivoire,Capacity-enhancing,Fuel subsidies,2147412.5,2147412.5,Modeled
Africa,Cote d'Ivoire,Ambiguous,Fisher assistance,9256.149246,6556.337226,Modeled
Africa,Cote d'Ivoire,Ambiguous,Vessel buyback,0,0,NA
Africa,Cote d'Ivoire,Ambiguous,Rural fisher communities,411787.821,411787.821,Reported
Africa,Djibouti,Beneficial,Fisheries mangt.,1876666.66,422921.8027,Modeled
Africa,Djibouti,Beneficial,Fishery R&D,0,0,NA
Africa,Djibouti,Beneficial,MPAs,0,0,NA
Africa,Djibouti,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
Africa,Djibouti,Capacity-enhancing,Fisheries dev. projects,369346.0502,106118.5318,Modeled
Africa,Djibouti,Capacity-enhancing,Fishing port develop.,0,0,NA
Africa,Djibouti,Capacity-enhancing,Markt. & storage infrast.,2730000,316428.5563,Modeled
Africa,Djibouti,Capacity-enhancing,Tax exemption,61513.26739,53332.00283,Reported
Africa,Djibouti,Capacity-enhancing,Fishing access,6775.11,0,Reported
Africa,Djibouti,Capacity-enhancing,Fuel subsidies,0,0,NA
Africa,Djibouti,Ambiguous,Fisher assistance,382500,382500,Reported
Africa,Djibouti,Ambiguous,Vessel buyback,0,0,NA
Africa,Djibouti,Ambiguous,Rural fisher communities,19225.5454,19225.5454,Modeled
Africa,Egypt,Beneficial,Fisheries mangt.,18845311.55,18845311.55,Modeled
Africa,Egypt,Beneficial,Fishery R&D,1521906.215,167958.0721,Modeled
Africa,Egypt,Beneficial,MPAs,4741507.452,1283072.846,Modeled
Africa,Egypt,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
Africa,Egypt,Capacity-enhancing,Fisheries dev. projects,24057563.23,744115.5017,Modeled
Africa,Egypt,Capacity-enhancing,Fishing port develop.,19973336.61,0,Modeled
Africa,Egypt,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
Africa,Egypt,Capacity-enhancing,Tax exemption,0,0,NA
