RegionName,Country,Class,Category,Type,Constant 2018 USD,Data Type
Africa,Algeria,A1,Beneficial,Fisheries mangt.,1629280.79,Reported
Africa,Algeria,A2,Beneficial,Fishery R&D,4529977.646,Reported
Africa,Algeria,A3,Beneficial,MPAs,508033.9447,Modeled
Africa,Algeria,B1,Capacity-enhancing,Boat constsruct. & renov.,43901678.58,Reported
Africa,Algeria,B2,Capacity-enhancing,Fisheries dev. projects,25878295.63,Reported
Africa,Algeria,B3,Capacity-enhancing,Fishing port develop.,31776201.77,Reported
Africa,Algeria,B4,Capacity-enhancing,Markt. & storage infrast.,55303477.09,Reported
Africa,Algeria,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
Africa,Algeria,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
Africa,Algeria,B7,Capacity-enhancing,Fuel subsidies,51563511.22,Modeled
Africa,Algeria,C1,Ambiguous,Fisher assistance,3822168.638,Reported
Africa,Algeria,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Algeria,C3,Ambiguous,Rural fisher communities,9191270.444,Reported
Africa,Angola,A1,Beneficial,Fisheries mangt.,7402331.289,Reported
Africa,Angola,A2,Beneficial,Fishery R&D,216102.8855,Reported
Africa,Angola,A3,Beneficial,MPAs,0,not found evidence of subsidy
Africa,Angola,B1,Capacity-enhancing,Boat constsruct. & renov.,12842685.77,Reported
Africa,Angola,B2,Capacity-enhancing,Fisheries dev. projects,6528959.537,Reported
Africa,Angola,B3,Capacity-enhancing,Fishing port develop.,3484958.702,Reported
Africa,Angola,B4,Capacity-enhancing,Markt. & storage infrast.,5855177.318,Reported
Africa,Angola,B5,Capacity-enhancing,Tax exemption,12077126.52,Modeled
Africa,Angola,B6,Capacity-enhancing,Fishing access,377318.47,Modeled
Africa,Angola,B7,Capacity-enhancing,Fuel subsidies,1883821.395,Modeled
Africa,Angola,C1,Ambiguous,Fisher assistance,653698.2873,Reported
Africa,Angola,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
Africa,Angola,C3,Ambiguous,Rural fisher communities,3679027.916,Reported
