Country,Type,Subtype,Class,Comment,Currency,Year,Source Short,Source,Status,SSF percentage,SSF Data Type,SSF Comment
Algeria,Fuel,Fuel subsidies,B7,p37 Tax on petrol will not have any impact on ag and fisheries thanks to dedicated support.,,2018,PWC Report 2017,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19,Live,6.4,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Angola,Fuel,Fuel subsidies,B7,To cover 47% of fuel costs,,2019,MacauHub - Fuel 2019-20,MacauHub (2019) Fuel subsidy in Angola introduced in the 2019/2020 agricultural campaign,Live,19.6,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Angola,Tax,Non-Fuel tax exemptions,B5,p41 reduced rate of 15% (compared to 30%) of income from fishing,USD,2014,LexMundi Angola Guide,LexMundi (2015) Angola Guide to Doing Business,Live,30.0,2,"Used catch as proxy seaaroundus.org, assume subsistence fisheries are mainly unregulated/not registered and therefore only consider artisanal not the whole SSF."
Argentina,Fuel,Fuel tax concessions,B7,Appears to be evidence of 0 tax?,,2018,TEU 2018 Argentina,OECD (2018) Taxing Energy Use - Argentina,Live,2.6,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Australia,Fuel,Fuel subsidies,B7,Fuel Tax Credit provided - 40.9c / L,,2018,Australia Fuel Tax Credit,Australian Taxation Office (2018) - Rates (business),Live,8.4,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Bahamas,Tax,Non-Fuel tax exemptions,B5,"p813 Fishing vessel, bait, equipment, gear, etc. import duty exemption (other pdf highlights cover individual items)",USD,2014,Tariff Act 2018,"Bahamas Tariff Bill, 2018",Live,17.2,na,SSF Catch % based on seaaroundus.org
Bangladesh,Boat,Financial support fleet renewal & modernization,B1,p108,,2018,Bangladesh WTO TPR-2019,Bangladesh WTO Trade Policy Review-2019,Live,0.0,2,Ships and ocean going fishing trawlers - > all LSF
Bangladesh,Fishery Development,Development grants for fishery projects,B2,USD 141060 - taken from database,USD,2018,OECD ODA-Fishery Dev,"OECDStat, Overseas Development Aid, Fishery Development",Live,88.7,na,based SSF Cath % see seaaroundus.org
Barbados,Fuel,Fuel tax concessions,B7,,,2016,FAO Fishing Barbados,FAO (2016) Fishery and Aquaculture Country Profile - Barbados,Live,50.0,na,Based on % of SSF catch as no complete fuel consumption database found for Barbados
Barbados,Tax,Non-Fuel tax exemptions,B5,"p.11; The Government through the Fisheries Division offers tax and duty concessions on boats, engines and spare parts, fishing gear, fish handling equipment and other related supplies.",USD,2014,FAO Fishing Barbados,FAO (2016) Fishery and Aquaculture Country Profile - Barbados,Live,50.0,na,based on SSF% of Catch seaaroundus.org
Barbados,Tax,Non-Fuel tax exemptions,B5,p.11; Payment of water and electricity at boatyards and landing sites.,USD,2014,FAO Fishing Barbados,FAO (2016) Fishery and Aquaculture Country Profile - Barbados,Live,50.0,na,based on SSF% of Catch seaaroundus.org
Cameroon,Tax,Non-Fuel tax exemptions,B5,p15 VAT exemption for land used for fisheries equipment and materials and p15 Exemption from property tax on property belonging to fisheries enterprises,USD,2014,Cameroon 2018 guidelines,Republic of Cameroon Circular No. 001/C/MINFI of 2nd January 2018,Live,0.0,2,assume Cameroons SSF is not part of fisheries enterprises who would benefit from this tax break. 
Cameroon,Tax,Non-Fuel tax exemptions,B5,p15 Exemption for registration fees for land transfers for land used for fishing activities,USD,2014,Cameroon 2018 guidelines,Republic of Cameroon Circular No. 001/C/MINFI of 2nd January 2018,Live,0.0,2,assume Cameroons SSF is not part of fisheries enterprises who would benefit from this tax break. 
Congo Republic,Tax,Non-Fuel tax exemptions,B5,p570 fishing companies exempt from CIT (corporate income tax),USD,2014,PWC WWTS 2018-19,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19,Live,0.0,2,assume corporation in Congo -> LSF
Congo Republic,Tax,Non-Fuel tax exemptions,B5,p573 importers of fishery equipment and machinery exempt from VAT and customs duties,USD,2014,PWC WWTS 2018-19,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19,Live,100.0,na,all Congo Rep fishing fleet is classified as SSF based on seaaroundus.org
Djibouti,Tax,Non-Fuel tax exemptions,B5,p160 tax and import tax exemption for fisheries businesses and their materials and equipment,USD,2014,CGI 2010,Djibouti - Code General Des Impots 2011,Live,86.7,na,Based on SSF % of total catch of fleet see seaaroundus.org
Djibouti,Tax,Non-Fuel tax exemptions,B5,p64 VAT reduction for embarcations pour la peche (p61 rates - assumed 5% reduction),USD,2014,CGI 2010,Djibouti - Code General Des Impots 2011,Live,86.7,na,Based on SSF % of total catch of fleet see seaaroundus.org
Djibouti,Tax,Non-Fuel tax exemptions,B5,p62 VAT reduction for filets pour la peche (p61 rates - assumed 5% reduction),USD,2014,CGI 2010,Djibouti - Code General Des Impots 2011,Live,86.7,na,Based on SSF % of total catch of fleet see seaaroundus.org
Ecuador,Fishery Management,Fishery management programs & services,A1,USD 44458.00 - taken from database,USD,2017,OECD ODA-Policy Mgt,"OECDStat, Overseas Development Aid, Fisheries Policy & Management",Live,21.9,na,Based on seaaroundus.org SSF catch % in total EEZ
Fiji,Fuel,Fuel tax concessions,B7,"Local fishing vessels receive an exemption from the FJD 0.02 (EUR 0.009) per litre bunker fee and a duty free fuel concession, provided they meet eligibility criteria and receive approval from the Minister for Finance",,2014,Fiji Coastal Fisheries,Gillett et al. (2014) Coastal Fisheries in Fiji,Live,100.0,2,coastal -  assume all SSF
Fiji,Tax,Non-Fuel tax exemptions,B5,Specialised fisheries machinery for the fishing industry and processors is exempt from import taxes and subject to only 9% VAT,USD,2014,Greener Taxes PICTs,RESCCUE (2017) Towards Greener Taxes And Subsidies In Pacific Island Countries And Territories (PICTs),Live,0.0,2,fishing industry - all LSF
France,Fuel,Fuel tax concessions,B7,"p.7, Fuels used for fishing activities are untaxed, and only the carbon tax applies to oil products for agricultural uses",,2018,TEU 2018 France,OECD (2018) Taxing Energy Use - France,Live,13.0,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
France,Fuel,Fuel subsidies,B7,"p.62, evidence that fuel subsidies are provided",,2013,ITCSD 2018 Subsidies,ITCSD (2018) Negotiations on Fisheries Subsidies,Live,13.0,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Gabon,Tax,Non-Fuel tax exemptions,B5,p850 Exemption from franchise tax from XAF 10-500k,USD,2014,PWC WWTS 2018-19,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19,Live,63.5,na,based on SSF % of total catch see seaaroundus.org
Germany,Fuel,Fuel tax concessions,B7,"p.7, Manufacturing industry and users in the agriculture, forestry and fishing sector receive a tax refund of 25% of their total tax liability on diesel, fuel oil, LPG and natural gas based on certain conditions",,2018,TEU 2018 Germany,OECD (2018) Taxing Energy Use - Germany,Live,12.1,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Germany,Tax,Non-Fuel tax exemptions,B5,"p.8, A general tax refund of 25% applies to electricity used in manufacturing industry and agriculture, forestry and fishing based on certain conditions",,2018,TEU 2018 Germany,OECD (2018) Taxing Energy Use - Germany,Live,1.2,na,based on SSF % of Catch seaaroundus.org
Ireland,Fuel,Fuel subsidies,B7,"p.62, evidence that fuel subsidies are provided",,2013,ITCSD 2018 Subsidies,ITCSD (2018) Negotiations on Fisheries Subsidies,Live,17.8,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Kiribati,Fuel,Fuel subsidies,B7,"p.66, General fuel subsidy, estimated average subsidies from 2011-2015 were AUD 0.60 (EUR 0.42) per litre for kerosene,
AUD 0.45 (EUR 0.32) per litre for benzene and AUD 0.20 (EUR 0.14) per litre for diesel. This results
in estimated annual subsidies of AUD 7.1 million (EUR 5 million) for the three fuels",,2017,Greener taxes and subsidies in PICTs,Greener taxes and subsidies in PICTs,Live,1.7,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Korea Rep,Fuel,Fuel tax concessions,B7,"Resources and Environment
p-ISSN: 2163-2618    e-ISSN: 2163-2634
2013;  3(4): 65-71
doi:10.5923/j.re.20130304.01
Impact of Fuel Subsidies on Level of Fishing Effort in South Korea
 Sang-Go Lee, Amaj Rahimi Midani",,2013,Lee 2012 fuel subsidies SK,Lee & Midani (2012) Impact of Fuel Subsidies on Level of Fishing Effort in South Korea,Live,24.2,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Liberia,Fuel,Fuel subsidies,B7,p72 fuel subsidy mechanism to be implemented from 2016,,,Fisheries Policy 2014-30,Republic of Liberia 2014 - Fisheries and Aquaculture Policy and Strategy,Live,100.0,2,Liberia has no LSF fleet based on seaaroundus.org
Maldives,Fuel,Fuel subsidies,B7,"p.153, mentions a ""Fuel subsidy program"" ",,2018,Maldives MASPLAN,Maldives (2018) Project for the Formulation of Master Plan for Sustainable Fisheries,Live,15.0,2,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Mauritania,Fuel,Fuel tax concessions,B7,"p66 Fuel tax - Sont toutefois exonérés, les produits livrés aux navires de haute mer et aux bateaux de pêche pour la consommation à la mer ou aux avions commerciaux.",,,Code Impots 2016,Mauritanie Code Impots 2016,Live,0.0,2,ocean-going - assume LSF
